No.,Age_ka,Volcano,Tephra_Name,,Volume (km3),VEI
1,0.187,Suwanose_Jima,Suwanose_SUM.tif,,0.100334904,4
6,7.3,Kikai_Caldera,K_Ah_SUM.tif,,381.17667,7
8,95,Kikai_Caldera,K_Tz.tif,,118.645708,7
9,105,Ata_Caldera,Sata.tif,,8.528883,5
10,105,Ata_Caldera,Izashiki.tif,,3.329961087,5
11,105,Ata_Caldera,Ata.tif,,662.2543838,7
12,110,Ata_Caldera,Ata_Mr.tif,,8.539850174,5
13,240,Ata_Caldera,Ata_th.tif,,4.83537779,5
14,6.4,Ikeda,Ik.tif,,3.571608245,5
15,1.115,Kaimon_Dake,Km12b.tif,,0.051177134,3
16,1.126,Kaimon_Dake,Km12a.tif,,0.162016987,4
17,1.5,Kaimon_Dake,Km11c2.tif,,0.017778397,3
18,1.5,Kaimon_Dake,Km11ab.tif,,0.050551257,3
19,2,Kaimon_Dake,Km9c.tif,,0.087322161,3
20,2,Kaimon_Dake,Km9a.tif,,0.055914533,3
21,2,Kaimon_Dake,Km9b.tif,,0.077881157,3
22,2.1,Kaimon_Dake,Km8b.tif,,0.044592429,3
23,2.3,Kaimon_Dake,Km7.tif,,0.128661824,4
24,2.5,Kaimon_Dake,Km6.tif,,0.018638868,3
25,3.2,Kaimon_Dake,Km4.tif,,0.06953908,3
26,4,Kaimon_Dake,Km1.tif,,0.144546375,4
27,26,Aira_Caldera,AT_SUM.tif,,1270.15517,8
32,30,Aira_Caldera,Kn.tif,,0.690961453,4
33,31,Aira_Caldera,A_Fm.tif,,2.295917841,5
34,32.5,Aira_Caldera,A_Ot.tif,,0.383130438,4
35,45,Aira_Caldera,A_Iw.tif,,4.672459894,5
37,90,Aira_Caldera,A_Fk.tif,,11.03968184,6
38,95,Aira_Caldera,Hk.tif,,0.101640706,4
39,0.086,Sakurajima,Sz_P1.tif,,0.265675369,4
40,0.221,Sakurajima,Sz_P2.tif,,0.128642031,4
41,0.529,Sakurajima,Sz_3.tif,,0.686183292,4
42,5.6,Sakurajima,Sz_5.tif,,4.803115901,5
43,5,Sakurajima,Sz_7.tif,,0.200541545,4
44,8,Sakurajima,Sz_11.tif,,0.571609722,4
45,12.8,Sakurajima,Sz_S.tif,,3.099026092,5
46,26,Sakurajima,Sz_17.tif,,0.125141959,4
47,0.041,Kirishima_Yama,Sm_SA.tif,,0.001362819,2
48,0.178,Kirishima_Yama,Sm_BP.tif,,0.003102416,2
49,0.228,Kirishima_Yama,Sm_MP.tif,,0.002639089,2
50,0.283,Kirishima_Yama,Sm_KP.tif,,0.045033983,3
51,0.765,Kirishima_Yama,Kr_OhE.tif,,0.095451988,4
52,1,Kirishima_Yama,MSA.tif,,0.015203975,3
53,1.212,Kirishima_Yama,KZS.tif,,0.009146023,3
54,6.4,Kirishima_Yama,Kr_M.tif,,0.935061139,4
55,6.8,Kirishima_Yama,OJS.tif,,0.007883949,3
56,6.9,Kirishima_Yama,MHA.tif,,0.006895815,3
57,7.1,Kirishima_Yama,USA_u.tif,,0.058163964,3
58,7.3,Kirishima_Yama,USA_l.tif,,0.212087352,4
59,8.1,Kirishima_Yama,UMS.tif,,0.004566104,2
60,16.7,Kirishima_Yama,Kr_Kb.tif,,0.907492188,4
61,22,Kirishima_Yama,KrS.tif,,0.204873771,4
62,29,Kirishima_Yama,Kr_Aw.tif,,1.082098242,5
63,40,Kirishima_Yama,Kr_Iw.tif,,1.170303293,5
64,0.009,Unzen_Dake,Unzen_1991_6_8.tif,,2.84E-06,0
65,0.009,Unzen_Dake,Unzen_1991_6_3.tif,,0.000323033,1
66,0.009,Unzen_Dake,Unzen_1991_5_29.tif,,2.59E-07,0
67,85,Aso_Caldera,Aso_4.tif,,1051.23657,8
68,95,Aso_Caldera,Aso_ABCD.tif,,3.491747239,5
69,90,Aso_Caldera,Aso3_4Blayer.tif,,0.052916503,3
70,90,Aso_Caldera,Aso3_4Clayer.tif,,0.406876547,4
71,90,Aso_Caldera,Aso3_4Dlayer.tif,,0.901926006,4
72,120,Aso_Caldera,Aso_3.tif,,130.074711,7
73,135,Aso_Caldera,Aso2_3Q.tif,,0.239155124,4
74,135,Aso_Caldera,Aso2T.tif,,2.951710902,5
75,0.011,Aso_San,Aso_1989_1990.tif,,0.001515542,2
76,0.021,Aso_San,Aso_1979_6_11.tif,,0.008534061,3
78,0.067,Aso_San,Aso_1933.tif,,0.209651855,4
79,31,Aso_San,Kpfa.tif,,1.392631753,5
80,40,Aso_San,ACP4.tif,,0.471124805,4
81,52,Aso_San,ACP6.tif,,0.172941854,4
82,0.005,Kuju_San,Kuju_1995.tif,,0.000283824,1
83,50,Kuju_San,Kj_P1.tif,,2.030803793,5
84,2.2,Yufu_Dake,Yf1_YA1.tif,,0.050843906,3
86,20,Sanbe_San,Suk.tif,,6.195884913,5
87,50,Sanbe_San,SI.tif,,3.175877482,5
88,50,Sanbe_San,SOd.tif,,6.602906483,5
89,55,Sanbe_San,K1.tif,,0.367093097,4
90,110,Sanbe_San,SK.tif,,19.97205403,6
91,20,Daisen,MsP.tif,,0.538311828,4
92,22,Daisen,Uh.tif,,0.441142559,4
93,23.6,Daisen,Sh.tif,,0.37234487,4
94,50,Daisen,KmA.tif,,0.039831299,3
95,55,Daisen,DKP.tif,,20.74247483,6
96,55,Daisen,DSP.tif,,0.327676465,4
97,80,Daisen,DNP.tif,,1.0965192,5
98,80,Daisen,DAP2.tif,,0.261142169,4
99,90,Daisen,DAP1.tif,,0.135138221,4
100,140,Daisen,DHP.tif,,0.140227036,4
101,130,Daisen,DMP.tif,,2.187367111,5
102,150,Daisen,DBP.tif,,0.225418334,4
103,150,Daisen,hpm2.tif,,0.300105591,4
104,230,Daisen,hpm1.tif,,0.760549559,4
105,170,Daisen,HdP.tif,,1.873133418,5
106,190,Daisen,DOP.tif,,4.288617365,5
107,330,Daisen,cpm.tif,,0.795106669,4
108,3,Izu_Tobu_Volcano_Group,Izu_Iw.tif,,0.037053229,3
109,3.126,Izu_Tobu_Volcano_Group,Izu_Kg.tif,,0.563051326,4
110,5,Izu_Tobu_Volcano_Group,Izu_Om.tif,,0.086643272,3
111,10,Izu_Tobu_Volcano_Group,Izu_Akakubo.tif,,0.012344296,3
112,11,Izu_Tobu_Volcano_Group,Izu_Komuro.tif,,0.015259966,3
