Tephra_fall_thickness_mm,AFE_mean,Conf_95_max,Conf_95_min
0.01,0.000164861527361527,0.000202812840240697,0.000126910214482357
0.1,0.000164861527361527,0.000202812840240697,0.000126910214482357
1,0.000142740000740001,0.000169994312419799,0.000115485689060202
10,0.000142740000740001,0.000169994312419799,0.000115485689060202
20,0.000127285140785141,0.000153126348596268,0.000101443932974013
30,0.000127285140785141,0.000153126348596268,0.000101443932974013
40,0.000127285140785141,0.000153126348596268,0.000101443932974013
50,0.000101901875901876,0.000117744428751482,8.60593230522701e-05
60,8.24445369445369e-05,9.85297677105159e-05,6.6359306178558e-05
70,8.10110815110815e-05,9.72185577159745e-05,6.48036053061885e-05
80,8.10110815110815e-05,9.72185577159745e-05,6.48036053061885e-05
90,7.84160099160099e-05,9.50052449183301e-05,6.18267749136897e-05
100,7.84160099160099e-05,9.50052449183301e-05,6.18267749136897e-05
110,5.22920042920043e-05,5.91730456076894e-05,4.54109629763192e-05
120,5.22920042920043e-05,5.91730456076894e-05,4.54109629763192e-05
130,5.22920042920043e-05,5.91730456076894e-05,4.54109629763192e-05
140,5.22920042920043e-05,5.91730456076894e-05,4.54109629763192e-05
150,3.01704776704777e-05,3.70279057251707e-05,2.33130496157847e-05
160,3.01704776704777e-05,3.70279057251707e-05,2.33130496157847e-05
170,3.01704776704777e-05,3.70279057251707e-05,2.33130496157847e-05
180,3.01704776704777e-05,3.70279057251707e-05,2.33130496157847e-05
190,3.01704776704777e-05,3.70279057251707e-05,2.33130496157847e-05
200,1.17796832796833e-05,1.65183406427692e-05,7.04102591659734e-06
210,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
220,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
230,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
240,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
250,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
260,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
270,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
280,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
290,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
300,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
310,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
320,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
330,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
340,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
350,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
360,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
370,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
380,7.77720427720428e-06,1.08889701578141e-05,4.66543839659441e-06
390,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
400,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
410,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
420,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
430,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
440,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
450,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
460,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
470,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
480,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
490,1.98901098901099e-06,3.54900754793094e-06,4.2901443009104e-07
500,0,0,0
510,0,0,0
520,0,0,0
530,0,0,0
540,0,0,0
550,0,0,0
560,0,0,0
570,0,0,0
580,0,0,0
590,0,0,0
600,0,0,0
610,0,0,0
620,0,0,0
630,0,0,0
640,0,0,0
650,0,0,0
660,0,0,0
670,0,0,0
680,0,0,0
690,0,0,0
700,0,0,0
710,0,0,0
720,0,0,0
730,0,0,0
740,0,0,0
750,0,0,0
760,0,0,0
770,0,0,0
780,0,0,0
790,0,0,0
800,0,0,0
810,0,0,0
820,0,0,0
830,0,0,0
840,0,0,0
850,0,0,0
860,0,0,0
870,0,0,0
880,0,0,0
890,0,0,0
900,0,0,0
910,0,0,0
920,0,0,0
930,0,0,0
940,0,0,0
950,0,0,0
960,0,0,0
970,0,0,0
980,0,0,0
990,0,0,0
1000,0,0,0
1010,0,0,0
1020,0,0,0
1030,0,0,0
1040,0,0,0
1050,0,0,0
1060,0,0,0
1070,0,0,0
1080,0,0,0
1090,0,0,0
1100,0,0,0
1110,0,0,0
1120,0,0,0
1130,0,0,0
1140,0,0,0
1150,0,0,0
1160,0,0,0
1170,0,0,0
1180,0,0,0
1190,0,0,0
1200,0,0,0
1210,0,0,0
1220,0,0,0
1230,0,0,0
1240,0,0,0
1250,0,0,0
1260,0,0,0
1270,0,0,0
1280,0,0,0
1290,0,0,0
1300,0,0,0
1310,0,0,0
1320,0,0,0
1330,0,0,0
1340,0,0,0
1350,0,0,0
1360,0,0,0
1370,0,0,0
1380,0,0,0
1390,0,0,0
1400,0,0,0
1410,0,0,0
1420,0,0,0
1430,0,0,0
1440,0,0,0
1450,0,0,0
1460,0,0,0
1470,0,0,0
1480,0,0,0
1490,0,0,0
1500,0,0,0
1510,0,0,0
1520,0,0,0
1530,0,0,0
1540,0,0,0
1550,0,0,0
1560,0,0,0
1570,0,0,0
1580,0,0,0
1590,0,0,0
1600,0,0,0
1610,0,0,0
1620,0,0,0
1630,0,0,0
1640,0,0,0
1650,0,0,0
1660,0,0,0
1670,0,0,0
1680,0,0,0
1690,0,0,0
1700,0,0,0
1710,0,0,0
1720,0,0,0
1730,0,0,0
1740,0,0,0
1750,0,0,0
1760,0,0,0
1770,0,0,0
1780,0,0,0
1790,0,0,0
1800,0,0,0
1810,0,0,0
1820,0,0,0
1830,0,0,0
1840,0,0,0
1850,0,0,0
1860,0,0,0
1870,0,0,0
1880,0,0,0
1890,0,0,0
1900,0,0,0
1910,0,0,0
1920,0,0,0
1930,0,0,0
1940,0,0,0
1950,0,0,0
1960,0,0,0
1970,0,0,0
1980,0,0,0
1990,0,0,0
2000,0,0,0
2010,0,0,0
2020,0,0,0
2030,0,0,0
2040,0,0,0
2050,0,0,0
2060,0,0,0
2070,0,0,0
2080,0,0,0
2090,0,0,0
2100,0,0,0
2110,0,0,0
2120,0,0,0
2130,0,0,0
2140,0,0,0
2150,0,0,0
2160,0,0,0
2170,0,0,0
2180,0,0,0
2190,0,0,0
2200,0,0,0
2210,0,0,0
2220,0,0,0
2230,0,0,0
2240,0,0,0
2250,0,0,0
2260,0,0,0
2270,0,0,0
2280,0,0,0
2290,0,0,0
2300,0,0,0
2310,0,0,0
2320,0,0,0
2330,0,0,0
2340,0,0,0
2350,0,0,0
2360,0,0,0
2370,0,0,0
2380,0,0,0
2390,0,0,0
2400,0,0,0
2410,0,0,0
2420,0,0,0
2430,0,0,0
2440,0,0,0
2450,0,0,0
2460,0,0,0
2470,0,0,0
2480,0,0,0
2490,0,0,0
2500,0,0,0
2510,0,0,0
2520,0,0,0
2530,0,0,0
2540,0,0,0
2550,0,0,0
2560,0,0,0
2570,0,0,0
2580,0,0,0
2590,0,0,0
2600,0,0,0
2610,0,0,0
2620,0,0,0
2630,0,0,0
2640,0,0,0
2650,0,0,0
2660,0,0,0
2670,0,0,0
2680,0,0,0
2690,0,0,0
2700,0,0,0
2710,0,0,0
2720,0,0,0
2730,0,0,0
2740,0,0,0
2750,0,0,0
2760,0,0,0
2770,0,0,0
